alpha,day,day_label,n_total,n_loss_in_day,loss_pct
0.74,1,Day 1,50,0,0.0
0.74,2,Day 2,50,1,2.0
0.74,3,Day 3,50,1,2.0
0.74,4,Day 4,50,7,14.0
0.74,5,Day 5,50,6,12.0
0.75,1,Day 1,50,0,0.0
0.75,2,Day 2,50,1,2.0
0.75,3,Day 3,50,2,4.0
0.75,4,Day 4,50,6,12.0
0.75,5,Day 5,50,6,12.0
0.76,1,Day 1,50,0,0.0
0.76,2,Day 2,50,1,2.0
0.76,3,Day 3,50,3,6.0
0.76,4,Day 4,50,5,10.0
0.76,5,Day 5,50,5,10.0
0.77,1,Day 1,50,0,0.0
0.77,2,Day 2,50,1,2.0
0.77,3,Day 3,50,3,6.0
0.77,4,Day 4,50,6,12.0
0.77,5,Day 5,50,6,12.0
0.78,1,Day 1,50,0,0.0
0.78,2,Day 2,50,1,2.0
0.78,3,Day 3,50,3,6.0
0.78,4,Day 4,50,7,14.0
0.78,5,Day 5,50,7,14.0
0.79,1,Day 1,50,0,0.0
0.79,2,Day 2,50,1,2.0
0.79,3,Day 3,50,4,8.0
0.79,4,Day 4,50,7,14.0
0.79,5,Day 5,50,6,12.0
0.8,1,Day 1,50,0,0.0
0.8,2,Day 2,50,1,2.0
0.8,3,Day 3,50,4,8.0
0.8,4,Day 4,50,9,18.0
0.8,5,Day 5,50,6,12.0
0.81,1,Day 1,50,0,0.0
0.81,2,Day 2,50,1,2.0
0.81,3,Day 3,50,4,8.0
0.81,4,Day 4,50,10,20.0
0.81,5,Day 5,50,5,10.0
0.82,1,Day 1,50,0,0.0
0.82,2,Day 2,50,1,2.0
0.82,3,Day 3,50,4,8.0
0.82,4,Day 4,50,9,18.0
0.82,5,Day 5,50,6,12.0
0.83,1,Day 1,50,0,0.0
0.83,2,Day 2,50,1,2.0
0.83,3,Day 3,50,4,8.0
0.83,4,Day 4,50,8,16.0
0.83,5,Day 5,50,6,12.0
0.84,1,Day 1,50,0,0.0
0.84,2,Day 2,50,1,2.0
0.84,3,Day 3,50,5,10.0
0.84,4,Day 4,50,8,16.0
0.84,5,Day 5,50,8,16.0
0.85,1,Day 1,50,0,0.0
0.85,2,Day 2,50,1,2.0
0.85,3,Day 3,50,4,8.0
0.85,4,Day 4,50,9,18.0
0.85,5,Day 5,50,9,18.0
0.86,1,Day 1,50,0,0.0
0.86,2,Day 2,50,1,2.0
0.86,3,Day 3,50,3,6.0
0.86,4,Day 4,50,10,20.0
0.86,5,Day 5,50,10,20.0
0.87,1,Day 1,50,0,0.0
0.87,2,Day 2,50,1,2.0
0.87,3,Day 3,50,3,6.0
0.87,4,Day 4,50,9,18.0
0.87,5,Day 5,50,10,20.0
0.88,1,Day 1,50,0,0.0
0.88,2,Day 2,50,1,2.0
0.88,3,Day 3,50,3,6.0
0.88,4,Day 4,50,10,20.0
0.88,5,Day 5,50,12,24.0
0.89,1,Day 1,50,0,0.0
0.89,2,Day 2,50,1,2.0
0.89,3,Day 3,50,3,6.0
0.89,4,Day 4,50,10,20.0
0.89,5,Day 5,50,11,22.0
0.9,1,Day 1,50,0,0.0
0.9,2,Day 2,50,1,2.0
0.9,3,Day 3,50,5,10.0
0.9,4,Day 4,50,9,18.0
0.9,5,Day 5,50,11,22.0
0.91,1,Day 1,50,0,0.0
0.91,2,Day 2,50,1,2.0
0.91,3,Day 3,50,5,10.0
0.91,4,Day 4,50,8,16.0
0.91,5,Day 5,50,13,26.0
0.92,1,Day 1,50,0,0.0
0.92,2,Day 2,50,1,2.0
0.92,3,Day 3,50,4,8.0
0.92,4,Day 4,50,10,20.0
0.92,5,Day 5,50,14,28.0
0.93,1,Day 1,50,0,0.0
0.93,2,Day 2,50,1,2.0
0.93,3,Day 3,50,4,8.0
0.93,4,Day 4,50,11,22.0
0.93,5,Day 5,50,16,32.0
0.94,1,Day 1,50,0,0.0
0.94,2,Day 2,50,1,2.0
0.94,3,Day 3,50,4,8.0
0.94,4,Day 4,50,12,24.0
0.94,5,Day 5,50,15,30.0
0.95,1,Day 1,50,0,0.0
0.95,2,Day 2,50,1,2.0
0.95,3,Day 3,50,4,8.0
0.95,4,Day 4,50,11,22.0
0.95,5,Day 5,50,16,32.0
0.96,1,Day 1,50,0,0.0
0.96,2,Day 2,50,1,2.0
0.96,3,Day 3,50,4,8.0
0.96,4,Day 4,50,9,18.0
0.96,5,Day 5,50,18,36.0
0.97,1,Day 1,50,0,0.0
0.97,2,Day 2,50,1,2.0
0.97,3,Day 3,50,4,8.0
0.97,4,Day 4,50,9,18.0
0.97,5,Day 5,50,17,34.0
0.98,1,Day 1,50,0,0.0
0.98,2,Day 2,50,1,2.0
0.98,3,Day 3,50,5,10.0
0.98,4,Day 4,50,9,18.0
0.98,5,Day 5,50,16,32.0
0.99,1,Day 1,50,0,0.0
0.99,2,Day 2,50,1,2.0
0.99,3,Day 3,50,4,8.0
0.99,4,Day 4,50,8,16.0
0.99,5,Day 5,50,18,36.0
1.0,1,Day 1,50,0,0.0
1.0,2,Day 2,50,1,2.0
1.0,3,Day 3,50,4,8.0
1.0,4,Day 4,50,7,14.0
1.0,5,Day 5,50,17,34.0
