rule,alpha,seed,loss_time,loss_branch,branch_collapse_time,branch_collapse_branch,final_prox_diam,final_dist_diam,hierarchy_success,joint_success,stable
BR5,0.05,423734973,0,0,0,0,17.347888797016594,4.297183463481174,1,1,1
BR5,0.05,415968277,0,0,0,0,13.369015219719211,12.254930618075942,1,1,1
BR5,0.05,670094951,0,0,0,0,19.09859317102744,3.1830988618379066,1,1,1
BR5,0.05,841095290,16,1,7,1,0.0,11.459155902616464,0,0,0
BR5,0.05,669991379,13,0,4,1,2.864788975654116,9.54929658551372,0,0,0
BR5,0.05,429389015,20,1,2,1,0.0,12.573240504259733,0,0,0
BR5,0.05,249467211,27,2,8,2,26.897185382530317,0.0,1,0,0
BR5,0.05,898717131,29,2,7,2,27.2154952687141,0.0,1,0,0
BR5,0.05,498972760,0,0,28,2,21.645072260497766,1.2732395447351628,1,1,1
BR5,0.05,359525749,0,0,0,0,11.777465788800257,4.45633840657307,1,1,1
BR5,0.05,434285668,0,0,0,0,11.936620731892154,8.912676813146138,1,1,1
BR5,0.05,613608296,0,0,0,0,14.005634992086788,6.047887837492023,1,1,1
BR5,0.05,893664920,0,0,0,0,9.071831756238035,6.525352666767709,1,1,1
BR5,0.05,648061059,0,0,33,2,16.233804195373327,4.297183463481174,1,1,1
BR5,0.05,88409750,0,0,0,0,6.207042780583919,14.005634992086788,0,0,1
BR5,0.05,242285877,0,0,6,1,5.252113122032545,9.390141642421824,0,0,1
BR5,0.05,944505602,19,1,9,1,0.0,11.777465788800257,0,0,0
BR5,0.05,953477464,0,0,0,0,4.615493349664964,10.185916357881302,0,0,1
BR5,0.05,354088428,21,1,12,1,0.0,12.095775674984049,0,0,0
BR5,0.05,809827742,0,0,0,0,5.092958178940651,9.708451528605616,0,0,1
BR5,0.05,911989542,0,0,18,2,22.122537089773452,0.0,1,1,1
BR5,0.05,3344770,0,0,0,0,7.16197243913529,10.026761414789409,0,0,1
BR5,0.05,780932288,11,1,2,1,0.0,13.528170162811104,0,0,0
BR5,0.05,787716373,27,0,8,0,21.485917317405875,5.729577951308232,1,0,0
BR5,0.05,504579233,0,0,0,0,12.254930618075942,12.891550390443523,0,0,1
BR5,0.05,232968652,0,0,33,0,14.483099821362476,3.023943918746012,1,1,1
BR5,0.05,479546682,0,0,10,0,14.642254764454373,8.276057040778557,1,1,1
BR5,0.05,106328086,0,0,24,2,16.87042396774091,3.342253804929802,1,1,1
BR5,0.05,30349565,0,0,34,2,11.777465788800257,2.228169203286535,1,1,1
BR5,0.05,781447916,0,0,0,0,6.8436625529515,10.345071300973197,0,0,1
BR5,0.05,99052377,0,0,10,1,3.978873577297384,10.026761414789407,0,0,1
BR5,0.05,177077809,0,0,30,2,22.281692032865347,0.47746482927568606,1,1,1
BR5,0.05,106406363,0,0,0,0,12.254930618075942,10.345071300973197,1,1,1
BR5,0.05,480404539,0,0,0,0,11.618310845708361,4.933803235848755,1,1,1
BR5,0.05,643647999,28,0,8,0,8.276057040778559,16.711269024649013,0,0,0
BR5,0.05,599121578,0,0,1,2,24.987326065427567,0.15915494309189535,1,1,1
BR5,0.05,200427520,0,0,36,2,19.098593171027446,2.7056340325622212,1,1,1
BR5,0.05,181009884,0,0,0,0,8.276057040778559,13.209860276627316,0,0,1
BR5,0.05,961022652,0,0,0,0,4.933803235848756,10.822536130248881,0,0,1
BR5,0.05,499770320,20,1,8,1,0.0,9.230986699329929,0,0,0
BR5,0.05,999745295,0,0,0,0,11.30000095952457,10.822536130248883,1,1,1
BR5,0.05,885063870,0,0,0,0,14.960564650638162,5.411268065124442,1,1,1
BR5,0.05,389151678,0,0,0,0,8.594366926962348,9.708451528605618,0,0,1
BR5,0.05,151079599,0,0,24,2,19.098593171027446,4.297183463481174,1,1,1
BR5,0.06,534895719,27,0,8,0,20.21267777267071,5.411268065124442,1,0,0
BR5,0.06,199900596,0,0,0,0,6.207042780583919,9.867606471697513,0,0,1
BR5,0.06,862061405,0,0,33,2,20.053522829578814,2.3873241463784303,1,1,1
BR5,0.06,787846415,0,0,0,0,13.050705333535419,5.729577951308232,1,1,1
BR5,0.06,996406379,0,0,0,0,10.822536130248881,9.23098669932993,1,1,1
BR5,0.06,127521864,0,0,0,0,9.230986699329929,13.687325105903003,0,0,1
BR5,0.06,423734973,0,0,0,0,17.347888797016594,4.297183463481174,1,1,1
BR5,0.06,415968277,0,0,0,0,18.62112834175176,6.843662552951502,1,1,1
BR5,0.06,670094951,0,0,0,0,16.870423967740912,5.570423008216338,1,1,1
BR5,0.06,841095290,16,1,7,1,0.0,11.459155902616464,0,0,0
BR5,0.06,669991379,13,0,4,0,4.7746482927568605,7.639437268410975,0,0,0
BR5,0.06,429389015,0,0,2,2,11.30000095952457,2.864788975654116,1,1,1
BR5,0.06,249467211,27,2,8,2,26.897185382530317,0.0,1,0,0
BR5,0.06,898717131,29,2,7,2,27.2154952687141,0.0,1,0,0
BR5,0.06,498972760,0,0,25,0,18.78028328484365,3.6605636911135933,1,1,1
BR5,0.06,359525749,0,0,0,0,11.777465788800257,4.45633840657307,1,1,1
BR5,0.06,434285668,0,0,35,1,4.456338406573069,16.87042396774091,0,0,1
BR5,0.06,613608296,0,0,0,0,12.891550390443523,7.16197243913529,1,1,1
BR5,0.06,893664920,0,0,0,0,6.207042780583919,9.390141642421826,0,0,1
BR5,0.06,648061059,0,0,33,2,16.233804195373327,4.297183463481174,1,1,1
BR5,0.06,88409750,0,0,0,0,8.276057040778557,12.095775674984047,0,0,1
BR5,0.06,242285877,0,0,6,1,4.933803235848756,9.708451528605615,0,0,1
BR5,0.06,944505602,19,1,9,1,0.0,11.777465788800257,0,0,0
BR5,0.06,953477464,0,0,0,0,6.047887837492023,9.230986699329929,0,0,1
BR5,0.06,354088428,22,1,13,1,0.0,12.254930618075942,0,0,0
BR5,0.06,809827742,0,0,26,0,8.276057040778559,7.3211273822271865,1,1,1
BR5,0.06,911989542,0,0,18,2,22.122537089773452,0.0,1,1,1
BR5,0.06,3344770,0,0,0,0,7.798592211502873,8.91267681314614,0,0,1
BR5,0.06,780932288,11,1,2,1,0.0,13.528170162811104,0,0,0
BR5,0.06,787716373,27,0,8,0,21.485917317405875,5.729577951308232,1,0,0
